temp,feel_temp,weather,gender,outer,top,bottom,inner,accessories
28,30,비,남,없음,반팔,면반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
26,22,맑음,여,얇은 가디건,민소매,치마,없음,"모자, 선글라스, 양산"
28,25,맑음,여,없음,민소매,치마,없음,"모자, 선글라스, 양산"
-6,-5,맑음,남,롱패딩,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
24,20,맑음,여,후드집업,맨투맨,롱스커트,없음,없음
30,31,흐림,여,얇은 가디건,민소매,치마,없음,"모자, 선글라스, 양산"
15,16,비,여,자켓,긴팔티,롱스커트,얇은 이너,"레인부츠, 우산"
30,26,눈,남,얇은 가디건,반팔,면반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
0,0,비,여,패딩,기모후드,기모치마,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-3,-2,눈,남,롱패딩,니트,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
3,4,비,여,코트,기모후드,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
6,4,흐림,남,패딩,니트,기모청바지,히트텍,없음
32,33,비,여,얇은 가디건,민소매,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
10,13,눈,남,가디건,맨투맨,청바지,얇은 이너,"부츠, 장갑"
35,31,흐림,남,없음,반팔,면반바지,없음,"모자, 선글라스, 양산"
-3,0,눈,남,롱패딩,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
30,32,비,여,없음,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
20,19,비,남,후드집업,후드티,슬랙스,얇은 이너,"레인부츠, 우산"
33,32,흐림,여,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
6,9,맑음,남,패딩,니트,기모바지,히트텍,없음
11,12,맑음,남,후드집업,긴팔티,슬랙스,없음,없음
-4,-2,맑음,여,패딩,히트텍,기모치마,히트텍,"목도리, 장갑, 핫팩"
11,6,비,여,가디건,긴팔티,슬랙스,얇은 이너,"레인부츠, 우산"
7,2,비,여,코트,니트,기모레깅스,히트텍,"레인부츠, 우산"
-10,-7,눈,남,롱패딩,히트텍,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
30,28,흐림,남,없음,반팔,면반바지,없음,"모자, 선글라스, 양산"
19,21,비,여,후드집업,긴팔티,롱스커트,없음,"레인부츠, 우산"
1,-1,눈,남,코트,니트,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
5,6,맑음,여,패딩,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
16,14,눈,여,가디건,후드티,슬랙스,얇은 이너,"부츠, 장갑"
-6,-9,흐림,남,롱패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
5,0,비,남,롱패딩,니트,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
32,29,비,여,없음,반팔,치마,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
10,8,눈,여,후드집업,긴팔티,청바지,얇은 이너,"부츠, 장갑"
-7,-7,눈,여,코트,니트,기모레깅스,히트텍,"목도리, 부츠, 장갑, 핫팩"
27,23,눈,여,없음,민소매,치마,없음,"모자, 부츠, 선글라스, 양산, 장갑"
19,21,눈,여,자켓,맨투맨,슬랙스,없음,"부츠, 장갑"
3,5,비,남,코트,히트텍,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
4,-1,눈,남,패딩,기모후드,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
35,30,맑음,여,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
33,31,비,여,얇은 가디건,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
25,22,눈,여,없음,민소매,치마,없음,"모자, 부츠, 선글라스, 양산, 장갑"
25,26,비,남,없음,민소매,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
26,23,비,남,얇은 가디건,민소매,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
-5,-2,맑음,여,패딩,니트,기모레깅스,히트텍,"목도리, 장갑, 핫팩"
3,0,흐림,남,롱패딩,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
3,-2,흐림,여,롱패딩,니트,기모레깅스,히트텍,"목도리, 장갑, 핫팩"
-5,-6,눈,여,롱패딩,기모후드,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
33,29,흐림,여,얇은 가디건,민소매,치마,없음,"모자, 선글라스, 양산"
22,23,맑음,여,자켓,긴팔티,청바지,없음,없음
-2,-7,비,여,코트,기모후드,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-6,-9,맑음,여,패딩,니트,기모치마,히트텍,"목도리, 장갑, 핫팩"
19,16,흐림,여,자켓,맨투맨,슬랙스,얇은 이너,없음
18,13,눈,여,가디건,맨투맨,슬랙스,없음,"부츠, 장갑"
-1,-1,비,여,롱패딩,기모후드,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
21,22,비,남,후드집업,긴팔티,청바지,얇은 이너,"레인부츠, 우산"
29,32,맑음,여,얇은 가디건,민소매,치마,없음,"모자, 선글라스, 양산"
-3,0,흐림,남,코트,기모후드,기모청바지,히트텍,"목도리, 장갑, 핫팩"
19,19,흐림,여,가디건,긴팔티,롱스커트,없음,없음
-4,-5,흐림,남,패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
22,23,흐림,여,후드집업,후드티,롱스커트,얇은 이너,없음
24,20,흐림,여,가디건,긴팔티,롱스커트,얇은 이너,없음
35,35,눈,여,없음,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
-9,-11,비,여,롱패딩,니트,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
20,21,흐림,여,가디건,후드티,청바지,얇은 이너,없음
-1,-2,눈,남,코트,니트,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
30,29,흐림,여,없음,민소매,치마,없음,"모자, 선글라스, 양산"
-7,-11,흐림,여,롱패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
22,25,흐림,남,자켓,후드티,청바지,없음,없음
6,8,맑음,남,코트,히트텍,기모청바지,히트텍,없음
27,25,맑음,남,없음,반팔,면반바지,없음,"모자, 선글라스, 양산"
27,29,비,남,없음,반팔,면반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
35,35,비,여,없음,민소매,치마,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
23,20,흐림,남,후드집업,긴팔티,청바지,얇은 이너,없음
15,14,비,남,자켓,맨투맨,청바지,얇은 이너,"레인부츠, 우산"
3,3,눈,여,패딩,니트,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
30,26,눈,여,얇은 가디건,민소매,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
2,2,눈,여,코트,기모후드,기모치마,히트텍,"목도리, 부츠, 장갑, 핫팩"
25,26,비,남,얇은 가디건,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
14,16,비,남,자켓,긴팔티,슬랙스,얇은 이너,"레인부츠, 우산"
-1,1,흐림,남,코트,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
1,-1,흐림,여,코트,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
-2,-7,눈,여,코트,히트텍,기모치마,히트텍,"목도리, 부츠, 장갑, 핫팩"
14,10,맑음,남,자켓,후드티,청바지,없음,없음
-5,-5,비,여,코트,기모후드,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
31,28,눈,남,얇은 가디건,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
1,2,흐림,여,코트,히트텍,기모레깅스,히트텍,"목도리, 장갑, 핫팩"
-7,-5,눈,남,코트,기모후드,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
23,23,흐림,여,후드집업,후드티,롱스커트,얇은 이너,없음
33,35,흐림,여,얇은 가디건,반팔,치마,없음,"모자, 선글라스, 양산"
10,11,맑음,남,자켓,맨투맨,면바지,없음,없음
13,12,눈,남,자켓,긴팔티,면바지,얇은 이너,"부츠, 장갑"
17,12,눈,남,자켓,긴팔티,슬랙스,없음,"부츠, 장갑"
34,34,맑음,여,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
33,32,눈,남,얇은 가디건,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
28,30,흐림,여,없음,민소매,치마,없음,"모자, 선글라스, 양산"
7,2,눈,여,코트,니트,기모레깅스,히트텍,"부츠, 장갑"
33,34,비,여,없음,민소매,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
20,23,눈,남,자켓,긴팔티,청바지,얇은 이너,"부츠, 장갑"
15,17,맑음,남,후드집업,후드티,청바지,없음,없음
-6,-9,흐림,여,패딩,히트텍,기모치마,히트텍,"목도리, 장갑, 핫팩"
27,29,눈,남,얇은 가디건,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
20,15,흐림,여,가디건,맨투맨,청바지,얇은 이너,없음
26,21,눈,여,얇은 가디건,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
0,3,눈,여,패딩,기모후드,기모치마,히트텍,"목도리, 부츠, 장갑, 핫팩"
24,24,맑음,여,자켓,후드티,청바지,얇은 이너,없음
17,17,맑음,남,가디건,긴팔티,슬랙스,없음,없음
29,28,눈,남,얇은 가디건,민소매,면반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
-2,-2,눈,남,롱패딩,니트,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
20,16,맑음,여,가디건,긴팔티,슬랙스,없음,없음
17,12,비,여,후드집업,맨투맨,청바지,없음,"레인부츠, 우산"
-5,-7,흐림,남,코트,니트,기모청바지,히트텍,"목도리, 장갑, 핫팩"
18,21,흐림,여,자켓,긴팔티,롱스커트,얇은 이너,없음
29,30,흐림,남,얇은 가디건,민소매,면반바지,없음,"모자, 선글라스, 양산"
20,18,맑음,여,자켓,긴팔티,슬랙스,없음,없음
13,15,비,여,후드집업,후드티,청바지,얇은 이너,"레인부츠, 우산"
-1,2,눈,여,롱패딩,기모후드,기모레깅스,히트텍,"목도리, 부츠, 장갑, 핫팩"
11,14,흐림,남,자켓,긴팔티,면바지,없음,없음
9,9,눈,남,롱패딩,히트텍,기모바지,히트텍,"부츠, 장갑"
8,9,흐림,여,패딩,기모후드,기모치마,히트텍,없음
-4,-3,눈,남,롱패딩,니트,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
24,25,비,남,자켓,맨투맨,면바지,얇은 이너,"레인부츠, 우산"
31,34,맑음,여,얇은 가디건,반팔,치마,없음,"모자, 선글라스, 양산"
19,20,비,여,자켓,후드티,롱스커트,없음,"레인부츠, 우산"
12,12,맑음,남,가디건,맨투맨,청바지,얇은 이너,없음
-4,-5,비,여,패딩,니트,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
15,10,맑음,남,후드집업,긴팔티,청바지,얇은 이너,없음
22,25,비,남,자켓,맨투맨,면바지,없음,"레인부츠, 우산"
22,21,비,남,가디건,맨투맨,청바지,없음,"레인부츠, 우산"
32,27,흐림,남,얇은 가디건,민소매,면반바지,없음,"모자, 선글라스, 양산"
-10,-10,눈,남,패딩,기모후드,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
26,26,맑음,남,얇은 가디건,반팔,면반바지,없음,"모자, 선글라스, 양산"
28,23,흐림,여,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
26,29,맑음,남,없음,민소매,면반바지,없음,"모자, 선글라스, 양산"
18,19,눈,남,후드집업,맨투맨,청바지,얇은 이너,"부츠, 장갑"
23,18,눈,남,자켓,긴팔티,면바지,없음,"부츠, 장갑"
28,23,비,남,없음,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
4,-1,맑음,남,롱패딩,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
28,26,맑음,여,얇은 가디건,민소매,반바지,없음,"모자, 선글라스, 양산"
19,16,비,남,가디건,후드티,면바지,없음,"레인부츠, 우산"
15,16,흐림,남,후드집업,맨투맨,면바지,얇은 이너,없음
-2,-7,흐림,여,코트,히트텍,기모치마,히트텍,"목도리, 장갑, 핫팩"
-1,-3,흐림,남,롱패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
4,-1,흐림,여,코트,니트,기모치마,히트텍,"목도리, 장갑, 핫팩"
30,26,맑음,여,얇은 가디건,반팔,치마,없음,"모자, 선글라스, 양산"
7,4,흐림,여,코트,기모후드,기모레깅스,히트텍,없음
-6,-4,맑음,여,롱패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
8,10,눈,남,패딩,기모후드,기모청바지,히트텍,"부츠, 장갑"
31,29,맑음,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
27,26,비,남,얇은 가디건,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
25,25,흐림,남,얇은 가디건,민소매,면반바지,없음,"모자, 선글라스, 양산"
17,18,비,여,가디건,맨투맨,청바지,없음,"레인부츠, 우산"
33,32,맑음,남,얇은 가디건,민소매,반바지,없음,"모자, 선글라스, 양산"
29,29,맑음,남,얇은 가디건,민소매,반바지,없음,"모자, 선글라스, 양산"
28,24,흐림,여,얇은 가디건,반팔,치마,없음,"모자, 선글라스, 양산"
12,9,비,남,가디건,맨투맨,슬랙스,얇은 이너,"레인부츠, 우산"
8,10,비,남,패딩,히트텍,기모청바지,히트텍,"레인부츠, 우산"
-1,0,비,여,패딩,히트텍,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
25,27,흐림,남,얇은 가디건,반팔,면반바지,없음,"모자, 선글라스, 양산"
1,2,비,남,코트,니트,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-6,-6,눈,남,롱패딩,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
11,11,흐림,남,후드집업,후드티,면바지,얇은 이너,없음
16,16,눈,남,자켓,긴팔티,청바지,없음,"부츠, 장갑"
26,25,비,여,얇은 가디건,반팔,치마,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
16,14,눈,남,후드집업,긴팔티,면바지,얇은 이너,"부츠, 장갑"
-10,-8,맑음,남,패딩,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
34,29,눈,여,없음,민소매,치마,없음,"모자, 부츠, 선글라스, 양산, 장갑"
2,-1,맑음,남,롱패딩,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
29,32,눈,남,없음,민소매,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
18,19,맑음,여,가디건,후드티,슬랙스,없음,없음
1,-2,눈,남,패딩,기모후드,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
-5,-8,눈,남,롱패딩,히트텍,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
-1,-3,비,여,패딩,니트,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-5,-10,흐림,여,패딩,기모후드,기모레깅스,히트텍,"목도리, 장갑, 핫팩"
-5,-5,눈,남,패딩,히트텍,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
3,-1,흐림,남,패딩,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
24,23,맑음,남,후드집업,맨투맨,슬랙스,없음,없음
15,13,맑음,남,자켓,긴팔티,슬랙스,없음,없음
11,14,맑음,여,후드집업,긴팔티,청바지,없음,없음
20,21,눈,여,후드집업,맨투맨,슬랙스,없음,"부츠, 장갑"
-7,-5,눈,여,패딩,히트텍,기모레깅스,히트텍,"목도리, 부츠, 장갑, 핫팩"
35,33,비,여,얇은 가디건,민소매,치마,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
13,12,흐림,여,자켓,맨투맨,청바지,얇은 이너,없음
0,-1,눈,남,롱패딩,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
25,23,맑음,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
26,28,흐림,남,얇은 가디건,반팔,면반바지,없음,"모자, 선글라스, 양산"
6,9,맑음,여,코트,히트텍,기모치마,히트텍,없음
25,24,맑음,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
-8,-5,흐림,여,패딩,히트텍,기모바지,히트텍,"목도리, 장갑, 핫팩"
2,-2,맑음,남,코트,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
14,15,눈,남,후드집업,후드티,면바지,없음,"부츠, 장갑"
12,11,눈,남,가디건,후드티,청바지,얇은 이너,"부츠, 장갑"
-3,-4,비,남,코트,니트,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
33,36,눈,여,얇은 가디건,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
6,8,눈,남,코트,히트텍,기모청바지,히트텍,"부츠, 장갑"
5,4,흐림,여,코트,히트텍,기모바지,히트텍,"목도리, 장갑, 핫팩"
18,14,비,남,후드집업,긴팔티,면바지,얇은 이너,"레인부츠, 우산"
30,32,흐림,여,얇은 가디건,반팔,치마,없음,"모자, 선글라스, 양산"
-6,-5,비,여,롱패딩,히트텍,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-5,-8,흐림,여,패딩,니트,기모치마,히트텍,"목도리, 장갑, 핫팩"
-3,0,맑음,남,코트,히트텍,기모바지,히트텍,"목도리, 장갑, 핫팩"
32,27,비,남,없음,민소매,면반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
35,38,흐림,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
4,6,흐림,여,패딩,니트,기모레깅스,히트텍,"목도리, 장갑, 핫팩"
16,14,비,남,가디건,맨투맨,면바지,얇은 이너,"레인부츠, 우산"
21,18,흐림,여,가디건,맨투맨,청바지,얇은 이너,없음
1,-2,맑음,남,코트,기모후드,기모청바지,히트텍,"목도리, 장갑, 핫팩"
-7,-12,눈,남,패딩,니트,기모청바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
30,30,흐림,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
16,18,맑음,여,가디건,후드티,청바지,얇은 이너,없음
-10,-12,비,여,패딩,니트,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-9,-7,비,남,롱패딩,니트,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
22,21,맑음,남,가디건,긴팔티,슬랙스,없음,없음
-6,-7,맑음,여,코트,니트,기모치마,히트텍,"목도리, 장갑, 핫팩"
3,4,맑음,남,패딩,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
17,16,맑음,여,후드집업,맨투맨,청바지,없음,없음
6,8,눈,여,코트,히트텍,기모치마,히트텍,"부츠, 장갑"
-9,-13,흐림,여,롱패딩,기모후드,기모바지,히트텍,"목도리, 장갑, 핫팩"
20,16,비,여,가디건,후드티,청바지,없음,"레인부츠, 우산"
-9,-6,눈,여,롱패딩,니트,기모레깅스,히트텍,"목도리, 부츠, 장갑, 핫팩"
34,32,흐림,여,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
7,9,맑음,남,패딩,히트텍,기모바지,히트텍,없음
14,12,흐림,여,후드집업,긴팔티,청바지,얇은 이너,없음
12,14,맑음,남,후드집업,맨투맨,청바지,없음,없음
32,29,비,남,얇은 가디건,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
21,17,흐림,여,후드집업,후드티,슬랙스,없음,없음
10,6,비,여,후드집업,긴팔티,청바지,없음,"레인부츠, 우산"
25,20,맑음,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
30,30,맑음,여,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
16,19,비,남,가디건,맨투맨,청바지,없음,"레인부츠, 우산"
-10,-15,흐림,여,패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
6,2,눈,남,코트,히트텍,기모바지,히트텍,"부츠, 장갑"
34,35,비,남,얇은 가디건,민소매,면반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
-5,-3,흐림,여,롱패딩,히트텍,기모바지,히트텍,"목도리, 장갑, 핫팩"
3,-1,눈,여,패딩,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
8,7,비,여,패딩,기모후드,기모레깅스,히트텍,"레인부츠, 우산"
1,4,눈,여,코트,히트텍,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
29,32,맑음,여,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
2,-2,맑음,남,롱패딩,니트,기모바지,히트텍,"목도리, 장갑, 핫팩"
15,11,흐림,남,가디건,맨투맨,면바지,얇은 이너,없음
15,12,눈,남,후드집업,후드티,면바지,얇은 이너,"부츠, 장갑"
32,33,맑음,남,없음,반팔,반바지,없음,"모자, 선글라스, 양산"
19,15,눈,여,자켓,맨투맨,청바지,없음,"부츠, 장갑"
1,3,비,남,롱패딩,히트텍,기모청바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
7,5,비,여,코트,니트,기모치마,히트텍,"레인부츠, 우산"
11,6,비,여,가디건,긴팔티,슬랙스,없음,"레인부츠, 우산"
27,30,눈,남,없음,반팔,면반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
-8,-8,비,여,코트,기모후드,기모치마,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
32,35,눈,남,얇은 가디건,민소매,면반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
9,10,흐림,여,패딩,히트텍,기모레깅스,히트텍,없음
23,22,맑음,여,후드집업,맨투맨,롱스커트,얇은 이너,없음
28,26,맑음,남,얇은 가디건,반팔,반바지,없음,"모자, 선글라스, 양산"
13,12,흐림,여,가디건,후드티,롱스커트,얇은 이너,없음
-7,-9,맑음,남,코트,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
-10,-10,눈,남,코트,기모후드,기모바지,히트텍,"목도리, 부츠, 장갑, 핫팩"
-1,-4,흐림,여,패딩,히트텍,기모치마,히트텍,"목도리, 장갑, 핫팩"
9,12,흐림,여,롱패딩,히트텍,기모레깅스,히트텍,없음
30,25,맑음,남,얇은 가디건,민소매,반바지,없음,"모자, 선글라스, 양산"
-3,-5,비,여,코트,히트텍,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
32,33,흐림,남,없음,민소매,반바지,없음,"모자, 선글라스, 양산"
7,3,눈,남,코트,기모후드,기모바지,히트텍,"부츠, 장갑"
19,18,눈,여,자켓,긴팔티,롱스커트,없음,"부츠, 장갑"
21,19,흐림,여,후드집업,긴팔티,슬랙스,얇은 이너,없음
-1,-6,맑음,남,코트,히트텍,기모청바지,히트텍,"목도리, 장갑, 핫팩"
30,33,흐림,남,얇은 가디건,반팔,반바지,없음,"모자, 선글라스, 양산"
30,25,비,여,얇은 가디건,반팔,반바지,없음,"레인부츠, 모자, 선글라스, 양산, 우산"
-6,-7,비,여,롱패딩,기모후드,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
23,25,맑음,여,자켓,긴팔티,롱스커트,얇은 이너,없음
30,31,흐림,남,없음,반팔,면반바지,없음,"모자, 선글라스, 양산"
34,33,흐림,남,얇은 가디건,민소매,반바지,없음,"모자, 선글라스, 양산"
31,31,흐림,여,얇은 가디건,반팔,치마,없음,"모자, 선글라스, 양산"
20,23,맑음,여,자켓,맨투맨,청바지,얇은 이너,없음
12,12,흐림,남,가디건,맨투맨,청바지,없음,없음
22,21,맑음,남,자켓,맨투맨,청바지,얇은 이너,없음
31,29,눈,남,얇은 가디건,민소매,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
27,25,눈,여,얇은 가디건,반팔,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
22,24,맑음,남,후드집업,긴팔티,청바지,없음,없음
16,15,비,남,후드집업,맨투맨,청바지,없음,"레인부츠, 우산"
-10,-9,비,남,롱패딩,히트텍,기모바지,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
21,19,비,남,후드집업,후드티,청바지,얇은 이너,"레인부츠, 우산"
8,11,흐림,남,롱패딩,니트,기모바지,히트텍,없음
35,31,눈,남,없음,민소매,반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
-7,-9,비,여,코트,히트텍,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
-2,-4,눈,여,롱패딩,기모후드,기모레깅스,히트텍,"목도리, 부츠, 장갑, 핫팩"
19,17,눈,남,후드집업,후드티,면바지,얇은 이너,"부츠, 장갑"
9,9,눈,여,코트,니트,기모치마,히트텍,"부츠, 장갑"
-9,-12,흐림,여,패딩,히트텍,기모바지,히트텍,"목도리, 장갑, 핫팩"
-10,-9,비,여,패딩,니트,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
22,18,흐림,여,자켓,맨투맨,청바지,없음,없음
25,28,흐림,남,얇은 가디건,민소매,반바지,없음,"모자, 선글라스, 양산"
33,32,눈,남,없음,반팔,면반바지,없음,"모자, 부츠, 선글라스, 양산, 장갑"
13,16,맑음,여,자켓,후드티,롱스커트,얇은 이너,없음
-2,-2,맑음,여,롱패딩,히트텍,기모치마,히트텍,"목도리, 장갑, 핫팩"
2,1,흐림,남,패딩,니트,기모청바지,히트텍,"목도리, 장갑, 핫팩"
5,7,비,여,롱패딩,히트텍,기모레깅스,히트텍,"레인부츠, 목도리, 우산, 장갑, 핫팩"
7,7,흐림,남,코트,기모후드,기모바지,히트텍,없음
